Phase,Global Marker Index,annotatorID,s,d,e,epoch_i,rater_i,spindle_i,t
phase1,R8615,402.0,2.7999999999992724,1.2399999999997817,4.039999999999054,749,0,0,0
phase1,R8616,402.0,13.459999999999127,0.8800000000010186,14.340000000000146,749,0,1,1
phase1,R8617,402.0,20.049999999999272,0.9700000000011642,21.020000000000437,749,0,2,2
phase1,R19340,306.0,2.5200000000004366,1.6599999999998545,4.180000000000291,749,1,0,3
phase1,R19341,306.0,13.159999999999854,1.2000000000007276,14.360000000000582,749,1,1,4
phase1,R19342,306.0,19.86999999999898,1.2200000000011642,21.090000000000146,749,1,2,5
phase1,R19343,306.0,5.979999999999563,1.4799999999995634,7.459999999999127,749,1,3,6
phase1,R22281,224.0,20.049999999999272,1.3299999999999272,21.3799999999992,749,2,0,7
phase1,R22282,224.0,2.75,1.25,4.0,749,2,1,8
phase1,R22283,224.0,13.469999999999345,1.3299999999999272,14.799999999999272,749,2,2,9
phase1,R23092,194.0,2.8099999999994907,1.2200000000011642,4.030000000000655,749,3,0,10
phase1,R23093,194.0,9.579999999999927,0.5300000000006548,10.110000000000582,749,3,1,11
phase1,R23094,194.0,13.299999999999272,1.819999999999709,15.119999999998981,749,3,2,12
phase1,R23095,194.0,18.030000000000655,0.6199999999989814,18.649999999999636,749,3,3,13
phase1,R23096,194.0,19.270000000000437,1.9499999999989086,21.219999999999345,749,3,4,14
phase1,R23097,194.0,22.579999999999927,0.4599999999991269,23.039999999999054,749,3,5,15
phase1,R34307,478.0,2.850000000000364,1.2799999999988358,4.1299999999992,749,4,0,16
phase1,R34308,478.0,9.670000000000073,0.36999999999898137,10.039999999999054,749,4,1,17
phase1,R34309,478.0,13.319999999999709,0.9500000000007276,14.270000000000437,749,4,2,18
phase1,R34310,478.0,19.979999999999563,1.0200000000004366,21.0,749,4,3,19
phase1,R44056,484.0,2.7600000000002183,1.069999999999709,3.8299999999999272,749,5,0,20
phase1,R44057,484.0,9.469999999999345,0.5200000000004366,9.989999999999782,749,5,1,21
phase1,R44058,484.0,13.530000000000655,1.0499999999992724,14.579999999999927,749,5,2,22
phase1,R44059,484.0,19.969999999999345,1.0,20.969999999999345,749,5,3,23
phase1,R49204,449.0,2.719999999999345,1.1700000000000728,3.889999999999418,749,6,0,24
phase1,R49205,449.0,13.25,1.639999999999418,14.889999999999418,749,6,1,25
phase1,R49206,449.0,18.270000000000437,0.4399999999986903,18.709999999999127,749,6,2,26
phase1,R49207,449.0,19.229999999999563,0.6399999999994179,19.86999999999898,749,6,3,27
phase1,R49208,449.0,20.01000000000022,0.9499999999989086,20.959999999999127,749,6,4,28
phase1,R52972,514.0,2.7399999999997817,1.0799999999999272,3.819999999999709,749,7,0,29
phase1,R52973,514.0,19.86999999999898,1.0799999999999272,20.94999999999891,749,7,1,30
phase1,R52974,514.0,13.6299999999992,0.930000000000291,14.55999999999949,749,7,2,31
phase1,R55592,357.0,2.8799999999991996,1.0400000000008731,3.9200000000000728,749,8,0,32
phase1,R55593,357.0,20.020000000000437,1.0399999999990541,21.05999999999949,749,8,1,33
phase1,R55594,357.0,13.459999999999127,0.9200000000000728,14.3799999999992,749,8,2,34
phase1,R58367,7.0,2.8099999999994907,1.0300000000006548,3.8400000000001455,749,9,0,35
phase1,R58368,7.0,6.559999999999491,0.5900000000001455,7.149999999999636,749,9,1,36
phase1,R58369,7.0,9.489999999999782,0.930000000000291,10.420000000000073,749,9,2,37
phase1,R58370,7.0,13.199999999998909,1.4500000000007276,14.649999999999636,749,9,3,38
phase1,R58371,7.0,17.73999999999978,0.9599999999991269,18.69999999999891,749,9,4,39
phase1,R58372,7.0,19.8799999999992,1.110000000000582,20.98999999999978,749,9,5,40
phase1,R59541,445.0,2.780000000000655,1.1899999999986903,3.969999999999345,749,10,0,41
phase1,R59542,445.0,19.909999999999854,1.1900000000005093,21.100000000000364,749,10,1,42
phase1,R60595,17.0,2.5900000000001455,1.430000000000291,4.020000000000437,749,11,0,43
phase1,R60596,17.0,13.199999999998909,1.6900000000005093,14.889999999999418,749,11,1,44
phase1,R60597,17.0,19.969999999999345,1.0600000000013097,21.030000000000655,749,11,2,45
phase1,R60598,17.0,19.039999999999054,0.680000000000291,19.719999999999345,749,11,3,46
phase1,R60599,17.0,17.98999999999978,0.6399999999994179,18.6299999999992,749,11,4,47
phase1,R60868,429.0,2.75,1.1299999999991996,3.8799999999991996,749,12,0,48
phase1,R60869,429.0,19.81999999999971,1.1499999999996362,20.969999999999345,749,12,1,49
phase1,R60870,429.0,13.719999999999345,0.6599999999998545,14.3799999999992,749,12,2,50
phase1,R60871,429.0,9.639999999999418,0.6599999999998545,10.299999999999272,749,12,3,51
phase1,R69366,492.0,2.6700000000000728,1.3799999999991996,4.049999999999272,749,13,0,52
phase1,R69367,492.0,20.01000000000022,1.2199999999993452,21.229999999999563,749,13,1,53
phase1,R69368,492.0,13.369999999998981,1.1900000000005093,14.55999999999949,749,13,2,54
phase1,R69867,385.0,2.5900000000001455,1.3299999999999272,3.9200000000000728,749,14,0,55
phase1,R69868,385.0,6.020000000000437,0.5900000000001455,6.610000000000582,749,14,1,56
phase1,R69869,385.0,9.569999999999709,0.7399999999997817,10.30999999999949,749,14,2,57
phase1,R69870,385.0,13.199999999998909,1.6500000000014552,14.850000000000364,749,14,3,58
phase1,R69871,385.0,17.94000000000051,0.5900000000001455,18.530000000000655,749,14,4,59
phase1,R69872,385.0,19.979999999999563,1.0799999999999272,21.05999999999949,749,14,5,60
phase1,R69873,385.0,22.530000000000655,0.36999999999898137,22.899999999999636,749,14,6,61
phase1,R71436,207.0,2.8299999999999272,1.0799999999999272,3.9099999999998545,749,15,0,62
phase1,R71437,207.0,19.94000000000051,1.0799999999999272,21.020000000000437,749,15,1,63
phase1,R75818,297.0,2.6999999999989086,1.2400000000016007,3.9400000000005093,749,16,0,64
phase1,R75819,297.0,13.780000000000655,0.4599999999991269,14.239999999999782,749,16,1,65
phase1,R75820,297.0,19.94000000000051,1.0199999999986176,20.959999999999127,749,16,2,66
phase1,R76393,322.0,2.8299999999999272,0.9799999999995634,3.8099999999994907,749,17,0,67
phase1,R76394,322.0,20.01000000000022,0.9799999999995634,20.98999999999978,749,17,1,68
phase1,R86468,213.0,2.280000000000655,0.9399999999986903,3.219999999999345,749,18,0,69
phase1,R86469,213.0,13.280000000000655,0.41999999999825377,13.699999999998909,749,18,1,70
phase1,R86470,213.0,19.420000000000073,0.8600000000005821,20.280000000000655,749,18,2,71
phase1,R86573,456.0,2.319999999999709,0.9600000000009459,3.280000000000655,749,19,0,72
phase1,R86574,456.0,12.760000000000218,1.5799999999999272,14.340000000000146,749,19,1,73
phase1,R86575,456.0,19.340000000000146,0.9899999999997817,20.329999999999927,749,19,2,74
phase1,R91082,466.0,2.25,1.0300000000006548,3.280000000000655,749,20,0,75
phase1,R91083,466.0,19.43000000000029,1.0799999999999272,20.51000000000022,749,20,1,76
phase1,R93937,174.0,2.319999999999709,1.1299999999991996,3.4499999999989086,749,21,0,77
phase1,R93938,174.0,19.420000000000073,1.1299999999991996,20.549999999999272,749,21,1,78
phase1,R93939,174.0,12.719999999999345,1.6300000000010186,14.350000000000364,749,21,2,79
phase1,R94680,52.0,2.2700000000004366,1.0399999999990541,3.3099999999994907,749,22,0,80
phase1,R95221,257.0,2.149999999999636,1.2399999999997817,3.389999999999418,749,23,0,81
phase1,R95222,257.0,12.619999999998981,1.7000000000007276,14.319999999999709,749,23,1,82
phase1,R95223,257.0,19.31999999999971,1.1299999999991996,20.44999999999891,749,23,2,83
